x,y,covariance
-0.01,0.21,"[[1.43879644e-09 1.97752918e-10]
 [1.97752918e-10 3.75994902e-10]]"
-0.01,-0.21,"[[ 1.79120395e-09 -2.77356187e-11]
 [-2.77356187e-11  2.73408852e-10]]"
-0.01,0.14,"[[9.07242024e-10 2.30557642e-10]
 [2.30557642e-10 1.29681656e-09]]"
-0.01,-0.14,"[[2.02784280e-09 2.53212464e-10]
 [2.53212464e-10 3.17000116e-09]]"
0.08,0.25,"[[ 2.16297702e-07 -1.57627142e-07]
 [-1.57627142e-07  1.21867403e-05]]"
0.08,-0.25,"[[1.70018832e-09 2.01419329e-10]
 [2.01419329e-10 1.38743005e-10]]"
0.08,0.18,"[[ 4.65682845e-09 -2.05592156e-08]
 [-2.05592156e-08  9.48448143e-08]]"
0.08,-0.18,"[[ 3.80874786e-09 -3.97972005e-10]
 [-3.97972005e-10  1.50738897e-09]]"
0.08,0.23,"[[ 1.12475193e-08 -3.00198536e-07]
 [-3.00198536e-07  4.74349107e-04]]"
0.08,-0.23,"[[ 1.37347193e-09 -6.68559916e-10]
 [-6.68559916e-10  1.20373851e-09]]"
0.08,0.01,"[[9.65552253e-10 8.02738377e-10]
 [8.02738377e-10 2.42273999e-09]]"
0.08,-0.01,"[[1.10085458e-09 9.03375712e-10]
 [9.03375712e-10 1.90125177e-09]]"
0.08,0.08,"[[3.87913175e-09 4.90357662e-09]
 [4.90357662e-09 9.16339940e-09]]"
0.08,-0.08,"[[ 1.47690375e-09 -1.15331407e-09]
 [-1.15331407e-09  2.45087881e-09]]"
0.08,0.16,"[[ 3.49972450e-09 -4.99462737e-09]
 [-4.99462737e-09  1.03813977e-08]]"
0.08,-0.16,"[[ 2.18200374e-09 -4.63533079e-10]
 [-4.63533079e-10  2.58102246e-09]]"
0.08,0.05,"[[1.93184135e-09 5.25749419e-10]
 [5.25749419e-10 3.65147413e-09]]"
0.08,-0.05,"[[ 1.13890535e-09 -1.19758341e-10]
 [-1.19758341e-10  1.45759318e-09]]"
0.08,0.1,"[[1.84099328e-09 2.31764196e-09]
 [2.31764196e-09 6.04804156e-09]]"
0.08,-0.1,"[[1.09399244e-09 5.22352105e-10]
 [5.22352105e-10 3.32737882e-09]]"
0.08,0.03,"[[8.52341283e-10 5.51069009e-10]
 [5.51069009e-10 2.85186446e-09]]"
0.08,-0.03,"[[1.34926783e-09 2.86929764e-10]
 [2.86929764e-10 1.35761439e-09]]"
0.08,0.12,"[[2.29762644e-09 1.56269749e-09]
 [1.56269749e-09 1.38686294e-09]]"
0.08,-0.12,"[[ 7.61967281e-10 -7.52010393e-10]
 [-7.52010393e-10  4.66660168e-09]]"
0.08,0.21,"[[ 4.68634776e-09 -1.52954615e-07]
 [-1.52954615e-07  5.05511769e-06]]"
0.08,-0.21,"[[ 2.76249624e-09 -2.09572418e-09]
 [-2.09572418e-09  2.22521152e-09]]"
0.08,0.14,"[[5.86062978e-09 5.63291071e-10]
 [5.63291071e-10 8.83920619e-10]]"
0.08,-0.14,"[[ 1.61952423e-09 -2.05323824e-09]
 [-2.05323824e-09  4.53457219e-09]]"
-0.08,0.25,"[[1.12224082e-09 3.89872873e-10]
 [3.89872873e-10 1.34003029e-09]]"
-0.08,-0.25,"[[1.19999796e-09 8.39450765e-10]
 [8.39450765e-10 7.16789400e-10]]"
-0.08,0.18,"[[2.05393235e-09 2.05151325e-09]
 [2.05151325e-09 2.91746954e-09]]"
-0.08,-0.18,"[[1.93853524e-09 7.91412952e-11]
 [7.91412952e-11 9.44205660e-10]]"
-0.08,0.23,"[[ 7.11154377e-10 -8.92135456e-12]
 [-8.92135456e-12  6.89375555e-10]]"
