x,y,covariance
-0.08,0.25,"[[6.14083688e-09 4.43796099e-09] [4.43796099e-09 5.66537603e-09]]"
-0.08,-0.25,"[[5.99427720e-10 1.60883226e-10] [1.60883226e-10 3.86119216e-10]]"
-0.08,0.18,"[[3.63213929e-09 3.31841278e-09] [3.31841278e-09 3.89173316e-09]]"
-0.08,-0.18,"[[2.24445259e-09 4.49200339e-10] [4.49200339e-10 1.22923371e-09]]"
-0.08,0.23,"[[4.30116353e-09 3.88017813e-09] [3.88017813e-09 4.72652344e-09]]"
-0.08,-0.23,"[[2.22546151e-09 7.40848537e-10] [7.40848537e-10 3.03587750e-10]]"
-0.08,0.01,"[[1.62718798e-09 9.16020880e-10] [9.16020880e-10 1.53820516e-09]]"
-0.08,-0.01,"[[1.45833814e-09 8.77086332e-10] [8.77086332e-10 1.66701814e-09]]"
-0.08,0.08,"[[2.81303880e-09 2.16863482e-09] [2.16863482e-09 2.25718592e-09]]"
-0.08,-0.08,"[[1.55980304e-09 5.59543554e-10] [5.59543554e-10 2.89448086e-09]]"
-0.08,0.16,"[[3.15389500e-09 2.98314252e-09] [2.98314252e-09 3.71341298e-09]]"
-0.08,-0.16,"[[1.27354002e-09 6.84685782e-10] [6.84685782e-10 2.54697539e-09]]"
-0.08,0.05,"[[4.65783221e-09 2.14211272e-09] [2.14211272e-09 1.57160250e-09]]"
-0.08,-0.05,"[[1.57695379e-09 4.98684454e-10] [4.98684454e-10 2.81795585e-09]]"
-0.08,0.1,"[[1.71314626e-09 1.44884439e-09] [1.44884439e-09 1.80640453e-09]]"
-0.08,-0.1,"[[3.53964361e-09 1.15315125e-10] [1.15315125e-10 1.68641247e-09]]"
-0.08,0.03,"[[2.18967597e-09 1.20376388e-09] [1.20376388e-09 1.50560558e-09]]"
-0.08,-0.03,"[[1.50038427e-09 7.60479410e-10] [7.60479410e-10 2.24327207e-09]]"
-0.08,0.12,"[[2.80547063e-09 2.36677154e-09] [2.36677154e-09 2.65820564e-09]]"
-0.08,-0.12,"[[1.05767600e-09 3.11339127e-10] [3.11339127e-10 3.82404943e-09]]"
-0.08,0.21,"[[3.97566876e-09 3.46945949e-09] [3.46945949e-09 4.04373440e-09]]"
-0.08,-0.21,"[[ 8.01249391e-10 -5.24908719e-11] [-5.24908719e-11  2.49521261e-10]]"
-0.08,0.14,"[[3.17893660e-09 2.72092803e-09] [2.72092803e-09 2.94639543e-09]]"
-0.08,-0.14,"[[1.80465634e-09 5.48943750e-10] [5.48943750e-10 3.08811572e-09]]"
0.16,0.25,"[[2.55063658e-08 8.79404032e-09] [8.79404032e-09 2.19596011e-08]]"
0.16,-0.25,"[[3.79024726e-09 1.88133784e-10] [1.88133784e-10 1.32404181e-09]]"
0.16,0.18,"[[5.22244760e-09 1.19040869e-08] [1.19040869e-08 2.78128148e-08]]"
0.16,-0.18,"[[3.04849335e-09 1.03143856e-09] [1.03143856e-09 3.98976119e-09]]"
0.16,0.23,"[[4.63467089e-09 1.28241954e-08] [1.28241954e-08 4.36690034e-08]]"
0.16,-0.23,"[[3.61803933e-09 1.42533549e-10] [1.42533549e-10 2.91376751e-09]]"
0.16,0.01,"[[ 2.82695405e-09 -2.72243083e-08] [-2.72243083e-08  2.63491263e-07]]"
0.16,-0.01,"[[ 2.19318966e-09 -1.99753273e-08] [-1.99753273e-08  1.83162973e-07]]"
0.16,0.08,"[[ 3.26343747e-09 -6.02119064e-09] [-6.02119064e-09  3.30746769e-08]]"
0.16,-0.08,"[[3.41927471e-09 8.68202769e-09] [8.68202769e-09 2.21767145e-08]]"
