x,y,mdq,mdu,sdq,sdu,bad_apples
0.05,-0.14,0.0007898,9.93e-05,5.16e-05,5.75e-05,0
-0.05,0.25,0.0373056,0.0309086,3.32e-05,1.88e-05,0
-0.05,-0.25,0.0184083,0.0188399,3.56e-05,3.42e-05,0
-0.05,0.18,0.0329098,0.0207915,2.71e-05,2.56e-05,0
-0.05,-0.18,0.0039327,0.0194283,4.3e-05,2.76e-05,0
-0.05,0.23,0.0348659,0.0280177,3.2e-05,2.14e-05,0
-0.05,-0.23,0.014747,0.0202956,2.82e-05,2.33e-05,0
-0.05,0.01,0.0155279,-0.0066308,2.8e-05,5.18e-05,0
-0.05,-0.01,0.0111164,-0.006455,3.46e-05,4.8e-05,0
-0.05,0.08,0.0646971,0.0201343,7.39e-05,2.27e-05,0
-0.05,-0.08,0.000601,-0.0009547,4.17e-05,4.62e-05,0
-0.05,0.16,0.060518,0.0361077,7.75e-05,2.58e-05,0
-0.05,-0.16,0.0046987,0.040252,3.52e-05,4.46e-05,0
-0.05,0.05,0.0313797,-0.0018086,2.8e-05,4.57e-05,0
-0.05,-0.05,0.0090906,-0.0081876,3.31e-05,5.59e-05,0
-0.05,0.1,0.0619797,0.0230726,8.05e-05,2.31e-05,0
-0.05,-0.1,0.0002521,9.95e-05,3.43e-05,5.9e-05,0
-0.05,0.03,0.0035369,-0.0006441,4.02e-05,3.79e-05,0
-0.05,-0.03,0.0090931,-0.0107455,3.08e-05,5.51e-05,0
-0.05,0.12,0.0601182,0.0271383,8.18e-05,1.97e-05,0
-0.05,-0.12,-0.0001423,0.0004838,4.42e-05,5.66e-05,0
-0.05,0.21,0.0042782,0.0029846,6.32e-05,6.93e-05,0
-0.05,-0.21,0.0110034,0.0158001,3.33e-05,1.78e-05,0
-0.05,0.14,0.06229,0.0308232,8.29e-05,1.98e-05,0
-0.05,-0.14,-0.014209,0.0376974,6.69e-05,4.66e-05,0
0.1,0.25,0.034508,-0.0395672,0.0001534,0.001121,0
0.1,-0.25,0.0203543,0.0189474,3.49e-05,2.47e-05,0
0.1,0.18,0.0065806,0.0053498,0.0001049,0.0042179,0
0.1,-0.18,0.0005523,0.0012674,5.19e-05,5.46e-05,0
0.1,0.23,0.0456892,-0.0997293,0.0004463,0.002492,0
0.1,-0.23,0.020025,0.0255203,3.87e-05,3.5e-05,0
0.1,0.01,0.0392136,0.0804807,3.46e-05,6.02e-05,0
0.1,-0.01,0.0378124,0.0593451,3.78e-05,5.88e-05,0
0.1,0.08,0.0049461,0.014218,5.59e-05,0.0002028,0
0.1,-0.08,0.0053798,0.0002834,4.61e-05,4.69e-05,0
0.1,0.16,0.0049277,0.005177,6.17e-05,0.0016282,0
0.1,-0.16,0.0008678,-6.92e-05,4.47e-05,5.28e-05,0
0.1,0.05,0.0189221,0.0581217,4.11e-05,0.0001318,0
0.1,-0.05,0.0416045,0.0220427,4.14e-05,3.81e-05,0
0.1,0.1,0.0048685,0.0105717,5.21e-05,0.0005748,0
0.1,-0.1,0.0051761,-0.0012468,4.11e-05,3.87e-05,0
0.1,0.03,0.0390753,0.1010225,4.69e-05,8.65e-05,0
0.1,-0.03,0.0390185,0.0399778,3.98e-05,4.54e-05,0
0.1,0.12,0.0152966,0.0238336,0.0001112,0.0007456,0
0.1,-0.12,0.0157979,-0.0064309,3.43e-05,5.22e-05,0
0.1,0.21,0.005275,-0.0372024,0.000172,0.0091563,0
0.1,-0.21,-8.63e-05,0.0005974,4.99e-05,5.17e-05,0
0.1,0.14,0.0051955,0.0055353,5.53e-05,0.0010044,0
0.1,-0.14,0.0022659,-0.0013731,4.35e-05,5.15e-05,0
-0.1,0.25,0.0487954,0.056842,5.41e-05,7.5e-05,0
-0.1,-0.25,0.0108041,0.0084897,3.68e-05,2.13e-05,0
-0.1,0.18,0.0420858,0.0188531,4.9e-05,2.64e-05,0
-0.1,-0.18,0.0012389,0.0010341,3.85e-05,3.5e-05,0
-0.1,0.23,0.002601,0.0023982,6.39e-05,6.31e-05,0
-0.1,-0.23,0.0099998,0.0094681,3.35e-05,7.5e-06,0
-0.1,0.01,0.0080703,-0.0110259,3.61e-05,5.41e-05,0
-0.1,-0.01,0.0017666,-0.0028011,3.55e-05,4.56e-05,0
-0.1,0.08,0.019582,-0.0087693,2.76e-05,5.98e-05,0
-0.1,-0.08,-9e-07,-0.0002386,3.14e-05,4.91e-05,0
-0.1,0.16,0.0401895,0.013042,4.15e-05,3.21e-05,0
-0.1,-0.16,0.0004228,0.0005271,3.92e-05,3.53e-05,0
